MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:102891	Adcy7	adenylate cyclase 7	8		negative regulation of cytokine production involved in inflammatory response			IMP		J:161446 	
MGI:1341110	Adcy8	adenylate cyclase 8	15		neuroinflammatory response			IMP		J:107678 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		negative regulation of acute inflammatory response to antigenic stimulus			ISO	RGD:2037 	J:155856 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		negative regulation of acute inflammatory response to non-antigenic stimulus			ISO	RGD:2037 	J:155856 	
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		negative regulation of inflammatory response			IDA		J:142895 	
MGI:99401	Adora1	adenosine A1 receptor	1		negative regulation of acute inflammatory response			ISO	RGD:2048 	J:155856 	
MGI:99401	Adora1	adenosine A1 receptor	1		negative regulation of inflammatory response	regulates a function/process that has the participant lung		IGI	MGI:87916 	J:95142 	
MGI:99402	Adora2a	adenosine A2a receptor	10		negative regulation of inflammatory response	regulates a function/process that has the participant lung		IGI	MGI:87916 	J:128038 	
MGI:99403	Adora2b	adenosine A2b receptor	11		positive regulation of chronic inflammatory response to non-antigenic stimulus	regulates a function/process that has the participant lung		IMP		J:113120 	
MGI:104847	Adora3	adenosine A3 receptor	3		histamine secretion by mast cell	happens in mast cell		IDA		J:84007 	
MGI:104847	Adora3	adenosine A3 receptor	3		histamine secretion by mast cell	happens in mast cell		IMP	MGI:2155986 	J:84007 	
MGI:104847	Adora3	adenosine A3 receptor	3		positive regulation of inflammatory response	regulates a function/process that has the participant lung		IGI	MGI:87916 	J:91943 	
MGI:104847	Adora3	adenosine A3 receptor	3		positive regulation of inflammatory response	regulates a function/process that has the participant lung		IMP	MGI:2155986 	J:91943 	
MGI:87934	Adra2a	adrenergic receptor, alpha 2a	19		acute inflammatory response			ISO	RGD:2056 	J:155856 	
MGI:87938	Adrb2	adrenergic receptor, beta 2	18		negative regulation of inflammatory response			ISO	RGD:2060 	J:155856 	
MGI:2147658	Afap1l2	actin filament associated protein 1-like 2	19		inflammatory response			IBA	PTN002682769 	J:265628 	
MGI:2147658	Afap1l2	actin filament associated protein 1-like 2	19		inflammatory response			ISO	Q8N4X5 	J:164563 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		inflammatory response			IGI	MGI:104798 MGI:2687194 	J:168000 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		negative regulation of connective tissue replacement involved in inflammatory response wound healing	happens in lung	PR:Q62151	IMP	MGI:2451038 	J:131859 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of inflammatory response			ISO	RGD:69258 	J:155856 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		regulation of inflammatory response			IDA		J:55874 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		regulation of inflammatory response	regulates a function/process that has the participant metanephros		IDA		J:148250 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		regulation of inflammatory response			IGI	MGI:98259 	J:148250 	
MGI:87964	Agtr1a	angiotensin II receptor, type 1a	13		inflammatory response			IBA	PTN002796070 	J:265628 	
MGI:87964	Agtr1a	angiotensin II receptor, type 1a	13		inflammatory response	has the participant metanephros		IGI	MGI:2157020 MGI:2178475 	J:148250 	
MGI:87965	Agtr1b	angiotensin II receptor, type 1b	3		inflammatory response			IBA	PTN002796070 	J:265628 	
MGI:87965	Agtr1b	angiotensin II receptor, type 1b	3		inflammatory response	has the participant metanephros		IGI	MGI:87964 MGI:87966 	J:148250 	
MGI:87966	Agtr2	angiotensin II receptor, type 2	X		inflammatory response			IBA	PTN002796062 	J:265628 	
MGI:87966	Agtr2	angiotensin II receptor, type 2	X		inflammatory response	has the participant metanephros		IGI	MGI:87964 MGI:87965 	J:148250 	
MGI:87966	Agtr2	angiotensin II receptor, type 2	X		inflammatory response			ISO	RGD:2072 	J:155856 	
MGI:87968	Ahcy	S-adenosylhomocysteine hydrolase	2		chronic inflammatory response to antigenic stimulus			ISO	RGD:69260 	J:155856 	
MGI:107189	Ahsg	alpha-2-HS-glycoprotein	16		acute-phase response			ISO	P02765 	J:164563 	
MGI:107189	Ahsg	alpha-2-HS-glycoprotein	16		regulation of inflammatory response			ISO	P02765 	J:164563 	
MGI:2686159	Aim2	absent in melanoma 2	1		inflammatory response			IEA	KW-0395 	J:60000 	
MGI:102774	Aimp1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	3		inflammatory response			IEA	KW-0395 	J:60000 	
MGI:1926051	Ak7	adenylate kinase 7	12		inflammatory response to antigenic stimulus	has the participant respiratory system		IMP	MGI:5431002 	J:186062 	
MGI:2140340	Akna	AT-hook transcription factor	4		regulation of inflammatory response			IMP		J:233952 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		inflammatory response			IDA		J:87871 	
MGI:99600	Aldh2	aldehyde dehydrogenase 2, mitochondrial	5		regulation of inflammatory response			ISO	RGD:69219 	J:155856 	
MGI:87999	Alox5	arachidonate 5-lipoxygenase	6		acute inflammatory response			ISO	RGD:2096 	J:155856 	
MGI:87999	Alox5	arachidonate 5-lipoxygenase	6		inflammatory response			IMP	MGI:1857125 	J:75371 	
MGI:87999	Alox5	arachidonate 5-lipoxygenase	6		leukocyte chemotaxis involved in inflammatory response			ISO	P09917 	J:164563 	
MGI:87999	Alox5	arachidonate 5-lipoxygenase	6		leukocyte migration involved in inflammatory response			IMP		J:284986 	
MGI:87999	Alox5	arachidonate 5-lipoxygenase	6		leukotriene production involved in inflammatory response			IMP	MGI:1933120 	J:39229 	
MGI:87999	Alox5	arachidonate 5-lipoxygenase	6		negative regulation of inflammatory response			ISO	P09917 	J:164563 	
MGI:87999	Alox5	arachidonate 5-lipoxygenase	6		regulation of cytokine production involved in inflammatory response			IMP		J:284986 	
MGI:87999	Alox5	arachidonate 5-lipoxygenase	6		regulation of inflammatory response			IMP		J:21372 J:68714 J:253033 	
MGI:87999	Alox5	arachidonate 5-lipoxygenase	6		regulation of inflammatory response			ISO	P09917 	J:164563 	
MGI:87999	Alox5	arachidonate 5-lipoxygenase	6		regulation of inflammatory response to wounding			IMP		J:284986 	
MGI:107505	Alox5ap	arachidonate 5-lipoxygenase activating protein	5		leukotriene production involved in inflammatory response			IMP	MGI:2156546 	J:39229 J:124522 	
MGI:107505	Alox5ap	arachidonate 5-lipoxygenase activating protein	5		positive regulation of acute inflammatory response			ISO	RGD:2097 	J:155856 	
MGI:87997	Alox15	arachidonate 15-lipoxygenase	11		regulation of inflammatory response			ISO	P16050 	J:164563 	
MGI:1921095	Ankrd42	ankyrin repeat domain 42	7		positive regulation of cytokine production involved in inflammatory response			IMP		J:161367 	
MGI:2145890	Ano6	anoctamin 6	15		activation of blood coagulation via clotting cascade			ISO	Q4KMQ2 	J:164563 	
MGI:96819	Anxa1	annexin A1	19		inflammatory response			IBA	PTN002574794 	J:265628 	
MGI:96819	Anxa1	annexin A1	19		inflammatory response			IMP		J:142735 	
MGI:96819	Anxa1	annexin A1	19		regulation of inflammatory response			IBA	PTN002574794 	J:265628 	
MGI:96819	Anxa1	annexin A1	19		regulation of inflammatory response			IMP		J:81498 	
MGI:1350928	Aoah	acyloxyacyl hydrolase	13		negative regulation of inflammatory response			IBA	PTN000385115 	J:265628 	
MGI:1350928	Aoah	acyloxyacyl hydrolase	13		negative regulation of inflammatory response			IDA		J:90249 	
MGI:1306797	Aoc3	amine oxidase, copper containing 3	11		leukocyte migration involved in inflammatory response			ISO	RGD:62058 	J:155856 	
MGI:1306797	Aoc3	amine oxidase, copper containing 3	11		positive regulation of acute inflammatory response			ISO	RGD:62058 	J:155856 	
MGI:1333879	Ap3b1	adaptor-related protein complex 3, beta 1 subunit	13		inflammatory response			IGI	MGI:1333879 	J:85431 	
MGI:88049	Apoa1	apolipoprotein A-I	9		negative regulation of inflammatory response			ISO	P02647 	J:164563 	
MGI:88056	Apod	apolipoprotein D	16		negative regulation of cytokine production involved in inflammatory response			ISO	P05090 	J:164563 	
MGI:88057	Apoe	apolipoprotein E	7		negative regulation of inflammatory response			IGI	P22893 	J:179147 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		positive regulation of inflammatory response			ISO	P05067 	J:164563 	
MGI:1920243	Appl1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	14		positive regulation of cytokine production involved in inflammatory response			IMP		J:226873 	
MGI:2384914	Appl2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	10		negative regulation of cytokine production involved in inflammatory response			IMP		J:226873 	
MGI:1915747	Arel1	apoptosis resistant E3 ubiquitin protein ligase 1	12		regulation of inflammatory response			IMP		J:280563 	
MGI:2183158	Ash1l	ASH1 like histone lysine methyltransferase	3		negative regulation of acute inflammatory response			IMP	MGI:5563008 	J:208213 	
MGI:2183158	Ash1l	ASH1 like histone lysine methyltransferase	3		negative regulation of inflammatory response	regulates a function/process that happens in macrophage		IGI	MGI:2156367 MGI:96824 	J:208213 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		regulation of microglial cell activation			ISO	RGD:1593265 	J:155856 	
MGI:1341628	Atrn	attractin	2		inflammatory response			IEA	KW-0395 	J:60000 	
MGI:1347244	Axl	AXL receptor tyrosine kinase	7		inflammatory response	has the participant carotid artery		IMP	MGI:2387750 	J:122626 	
MGI:95705	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	4		acute inflammatory response	has the participant skin		IMP	MGI:2450889 	J:106669 	
MGI:1206586	Bap1	Brca1 associated protein 1	14		regulation of cytokine production involved in inflammatory response			IMP	MGI:5439653 	J:234216 	
MGI:1206586	Bap1	Brca1 associated protein 1	14		regulation of inflammatory response			IMP	MGI:5439653 	J:234216 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		inflammatory response			IEA	KW-0395 	J:60000 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		regulation of inflammatory response			IBA	PTN000578061 	J:265628 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		regulation of inflammatory response	regulates a function/process that has the participant heart|regulates a function/process that has the participant lung		IMP	MGI:2158439 	J:39815 	
MGI:1278332	Bcl6b	B cell CLL/lymphoma 6, member B	11		regulation of inflammatory response			IBA	PTN000578061 	J:265628 	
MGI:88141	Bcr	BCR activator of RhoGEF and GTPase	10		negative regulation of inflammatory response			IMP	MGI:2154396 	J:153997 	
MGI:88144	Bdkrb1	bradykinin receptor, beta 1	12		inflammatory response			ISO	RGD:620401 	J:155856 	
MGI:102845	Bdkrb2	bradykinin receptor, beta 2	12		acute inflammatory response to antigenic stimulus			ISO	RGD:2201 	J:155856 	
MGI:105370	Bst1	bone marrow stromal cell antigen 1	5		regulation of inflammatory response			ISO	Q10588 	J:164563 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		histamine secretion by mast cell			ISO	RGD:1359683 	J:155856 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		positive regulation of type I hypersensitivity			ISO	RGD:1359683 	J:155856 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		positive regulation of type III hypersensitivity			ISO	RGD:1359683 	J:155856 	
MGI:1932136	C1qtnf3	C1q and tumor necrosis factor related protein 3	15		negative regulation of inflammatory response			ISO	Q9BXJ4 	J:164563 	
MGI:1914639	C1qtnf12	C1q and tumor necrosis factor related 12	4		negative regulation of inflammatory response	regulates a function/process that has the participant adipose tissue		IDA		J:177588 	
MGI:3645763	C2cd4a	C2 calcium-dependent domain containing 4A	9		positive regulation of acute inflammatory response			ISO	Q8NCU7 	J:164563 	
MGI:3645763	C2cd4a	C2 calcium-dependent domain containing 4A	9		regulation of vascular permeability involved in acute inflammatory response			ISO	Q8NCU7 	J:164563 	
MGI:1922947	C2cd4b	C2 calcium-dependent domain containing 4B	9		positive regulation of acute inflammatory response			ISO	A6NLJ0 	J:164563 	
MGI:1922947	C2cd4b	C2 calcium-dependent domain containing 4B	9		regulation of vascular permeability involved in acute inflammatory response			ISO	A6NLJ0 	J:164563 	
MGI:88227	C3	complement component 3	17		inflammatory response			IEA	IPR001840 	J:72247 	
MGI:88227	C3	complement component 3	17		inflammatory response			IEA	KW-0395 	J:60000 	
MGI:88227	C3	complement component 3	17		positive regulation of type IIa hypersensitivity			IMP	MGI:1861799 	J:75709 	
MGI:1097680	C3ar1	complement component 3a receptor 1	6		inflammatory response			IBA	PTN001200752 	J:265628 	
MGI:88232	C5ar1	complement component 5a receptor 1	7		inflammatory response			IBA	PTN001200752 	J:265628 	
MGI:2442013	C5ar2	complement component 5a receptor 2	7		inflammatory response			IBA	PTN001200752 	J:265628 	
MGI:2151253	Calca	calcitonin/calcitonin-related polypeptide, alpha	7		inflammatory response			IDA		J:21870 	
MGI:1926944	Calcrl	calcitonin receptor-like	2		negative regulation of inflammatory response			ISO	RGD:2255 	J:155856 	
MGI:2442190	Camk1d	calcium/calmodulin-dependent protein kinase ID	2		inflammatory response			IEA	KW-0395 	J:60000 	
MGI:88258	Camk4	calcium/calmodulin-dependent protein kinase IV	18		inflammatory response			IEA	KW-0395 	J:60000 	
MGI:108443	Camp	cathelicidin antimicrobial peptide	9		chronic inflammatory response			ISO	P49913 	J:164563 	
MGI:96544	Casp1	caspase 1	9		regulation of inflammatory response			IBA	PTN000048051 	J:265628 	
MGI:96544	Casp1	caspase 1	9		regulation of inflammatory response	regulates a function/process that has the participant liver		IMP	MGI:2158744 	J:181354 	
MGI:96544	Casp1	caspase 1	9		regulation of inflammatory response			ISO	P29466 	J:164563 	
MGI:107700	Casp4	caspase 4, apoptosis-related cysteine peptidase	9		inflammatory response			IEA	KW-0395 	J:60000 	
MGI:107700	Casp4	caspase 4, apoptosis-related cysteine peptidase	9		regulation of inflammatory response			IBA	PTN000048051 	J:265628 	
MGI:107700	Casp4	caspase 4, apoptosis-related cysteine peptidase	9		regulation of inflammatory response			IDA		J:296118 	
MGI:107700	Casp4	caspase 4, apoptosis-related cysteine peptidase	9		regulation of inflammatory response			ISO	P49662 	J:164563 	
MGI:1312921	Casp6	caspase 6	3		acute inflammatory response to non-antigenic stimulus			ISO	RGD:70967 	J:155856 	
MGI:1312922	Casp12	caspase 12	9		regulation of inflammatory response			IBA	PTN000048051 	J:265628 	
MGI:98258	Ccl1	chemokine (C-C motif) ligand 1	11		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:98258	Ccl1	chemokine (C-C motif) ligand 1	11		positive regulation of inflammatory response			ISO	P22362 	J:164563 	
MGI:98259	Ccl2	chemokine (C-C motif) ligand 2	11		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:98259	Ccl2	chemokine (C-C motif) ligand 2	11		leukocyte migration involved in inflammatory response			ISO	RGD:3645 	J:155856 	
MGI:98260	Ccl3	chemokine (C-C motif) ligand 3	11		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:98260	Ccl3	chemokine (C-C motif) ligand 3	11		positive regulation of inflammatory response			IGI	P22893 	J:179147 	
MGI:98261	Ccl4	chemokine (C-C motif) ligand 4	11		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:98261	Ccl4	chemokine (C-C motif) ligand 4	11		inflammatory response			ISO	RGD:620441 	J:155856 	
MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	11		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	11		inflammatory response	has the participant colon		IMP	MGI:2180195 	J:197406 	
MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	11		inflammatory response			ISO	P13501 	J:164563 	
MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	11		positive regulation of fever generation			ISO	RGD:69069 	J:155856 	
MGI:98263	Ccl6	chemokine (C-C motif) ligand 6	11		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:99512	Ccl7	chemokine (C-C motif) ligand 7	11		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:101878	Ccl8	chemokine (C-C motif) ligand 8	11		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:104533	Ccl9	chemokine (C-C motif) ligand 9	11		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:103576	Ccl11	chemokine (C-C motif) ligand 11	11		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:108224	Ccl12	chemokine (C-C motif) ligand 12	11		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:108224	Ccl12	chemokine (C-C motif) ligand 12	11		inflammatory response			IDA		J:37573 	
MGI:108224	Ccl12	chemokine (C-C motif) ligand 12	11		inflammatory response			ISO	P13500 	J:164563 	
MGI:1329039	Ccl17	chemokine (C-C motif) ligand 17	8		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:1346316	Ccl19	chemokine (C-C motif) ligand 19	4		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:1329031	Ccl20	chemokine (C-C motif) ligand 20	1		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:1349183	Ccl21a	chemokine (C-C motif) ligand 21A (serine)	4		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:1349182	Ccl21b	chemokine (C-C motif) ligand 21B (leucine)	4		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:1891386	Ccl21c	chemokine (C-C motif) ligand 21C (leucine)	4		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:1306779	Ccl22	chemokine (C-C motif) ligand 22	8		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:1928953	Ccl24	chemokine (C-C motif) ligand 24	5		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:1928953	Ccl24	chemokine (C-C motif) ligand 24	5		positive regulation of inflammatory response			IMP		J:157197 	
MGI:1099448	Ccl25	chemokine (C-C motif) ligand 25	8		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:3589281	Ccl26	chemokine (C-C motif) ligand 26	5		inflammatory response			IBA	PTN000245709 	J:265628 	
MGI:109185	Ccn3	cellular communication network factor 3	15		negative regulation of inflammatory response			IMP		J:215090 	
MGI:1197008	Ccn4	cellular communication network factor 4	15		positive regulation of inflammatory response			ISO	O95388 	J:164563 	
MGI:104618	Ccr1	chemokine (C-C motif) receptor 1	9		inflammatory response			IBA	PTN001628676 	J:265628 	
MGI:104618	Ccr1	chemokine (C-C motif) receptor 1	9		inflammatory response			IMP	MGI:1931850 	J:41324 	
MGI:104617	Ccr1l1	chemokine (C-C motif) receptor 1-like 1	9		inflammatory response			IBA	PTN001628676 	J:265628 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		inflammatory response			IBA	PTN001628676 	J:265628 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		inflammatory response			IMP	MGI:2158213 	J:64054 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		inflammatory response to wounding			IMP		J:261392 J:269556 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		positive regulation of inflammatory response			IDA		J:159685 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		regulation of inflammatory response			IMP		J:247722 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		wound healing involved in inflammatory response			NAS		J:159685 	
MGI:104616	Ccr3	chemokine (C-C motif) receptor 3	9		inflammatory response			IBA	PTN001628676 	J:265628 	
MGI:107824	Ccr4	chemokine (C-C motif) receptor 4	9		inflammatory response			IMP	MGI:2136258 	J:70088 	
MGI:107182	Ccr5	chemokine (C-C motif) receptor 5	9		inflammatory response			IBA	PTN001628676 	J:265628 	
MGI:107182	Ccr5	chemokine (C-C motif) receptor 5	9		positive regulation of fever generation			ISO	RGD:620596 	J:155856 	
MGI:107182	Ccr5	chemokine (C-C motif) receptor 5	9		positive regulation of inflammatory response			ISO	RGD:620596 	J:155856 	
MGI:1333797	Ccr6	chemokine (C-C motif) receptor 6	17		leukocyte migration involved in inflammatory response			IMP		J:142071 	
MGI:103011	Ccr7	chemokine (C-C motif) receptor 7	11		inflammatory response			NAS		J:175336 	
MGI:103011	Ccr7	chemokine (C-C motif) receptor 7	11		inflammatory response			TAS		J:175178 	
MGI:103011	Ccr7	chemokine (C-C motif) receptor 7	11		positive regulation of hypersensitivity			IMP		J:57976 	
MGI:1920904	Ccrl2	chemokine (C-C motif) receptor-like 2	9		inflammatory response			IBA	PTN001628676 	J:265628 	
MGI:1920904	Ccrl2	chemokine (C-C motif) receptor-like 2	9		inflammatory response			IDA		J:140110 	
MGI:1334419	Cd5l	CD5 antigen-like	3		inflammatory response			IEA	KW-0395 	J:60000 	
MGI:103566	Cd6	CD6 antigen	19		acute inflammatory response to antigenic stimulus			ISO	P30203 	J:164563 	
MGI:103566	Cd6	CD6 antigen	19		positive regulation of cytokine production involved in inflammatory response			ISO	P30203 	J:164563 	
MGI:88318	Cd14	CD14 antigen	18		inflammatory response			IBA	PTN001636475 	J:265628 	
MGI:88318	Cd14	CD14 antigen	18		inflammatory response			ISO	RGD:620588 	J:155856 	
MGI:88323	Cd24a	CD24a antigen	10		leukocyte migration involved in inflammatory response	happens in EMAPA:16894		IMP	MGI:2179996 	J:93933 	
MGI:88323	Cd24a	CD24a antigen	10		negative regulation of inflammatory response to wounding			IPI	Q80ZE3 Q96LC7 	J:244884 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of inflammatory response to antigenic stimulus	regulates a function/process that has the participant spinal cord		IMP	MGI:2179996 	J:120498 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of inflammatory response to antigenic stimulus			IMP	MGI:2179996 	J:93933 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of inflammatory response to wounding			IMP		J:244884 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of inflammatory response to antigenic stimulus	regulates a function/process that has the participant spinal cord		IMP	MGI:1857150 	J:120498 	
MGI:88336	Cd40	CD40 antigen	2		inflammatory response			IBA	PTN005324942 	J:265628 	
MGI:88336	Cd40	CD40 antigen	2		inflammatory response			ISO	RGD:619830 	J:155856 	
MGI:88337	Cd40lg	CD40 ligand	X		inflammatory response			ISO	P29965 	J:164563 	
MGI:88338	Cd44	CD44 antigen	2		inflammatory response			IBA	PTN002566805 	J:265628 	
MGI:88338	Cd44	CD44 antigen	2		negative regulation of inflammatory response	happens in induced T-regulatory cell		IMP		J:224716 	
MGI:88338	Cd44	CD44 antigen	2		wound healing involved in inflammatory response	has the participant lung		IMP	MGI:2181292 	J:111216 	
MGI:96617	Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	16		inflammatory response			IDA		J:254528 	
MGI:96617	Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	16		positive regulation of inflammatory response			IBA	PTN000064788 	J:265628 	
MGI:96617	Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	16		positive regulation of inflammatory response	regulates a function/process that has the participant limb joint		IMP	MGI:1861955 	J:62428 	
MGI:88342	Cd68	CD68 antigen	11		inflammatory response to antigenic stimulus	happens in microglial cell		IDA		J:269541 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of inflammatory response to antigenic stimulus			IMP		J:65423 	
MGI:1934368	Cd96	CD96 antigen	16		cytokine production involved in inflammatory response	happens in natural killer cell		IMP	MGI:5617136 	J:209990 	
MGI:1934368	Cd96	CD96 antigen	16		inflammatory response			IBA	PTN002691914 	J:265628 	
MGI:2135946	Cd163	CD163 antigen	6		acute-phase response			IEA	KW-0011 	J:60000 	
MGI:2135946	Cd163	CD163 antigen	6		inflammatory response			IEA	KW-0395 	J:60000 	
MGI:1194924	Cd180	CD180 antigen	13		inflammatory response			IEA	KW-0395 	J:60000 	
MGI:1196990	Cd200	CD200 antigen	16		negative regulation of neuroinflammatory response	happens in nervous system		IMP		J:65982 	
MGI:1196990	Cd200	CD200 antigen	16		negative regulation of neuroinflammatory response			ISO	RGD:3104 	J:155856 	
MGI:1196990	Cd200	CD200 antigen	16		regulation of neuroinflammatory response			ISO	RGD:3104 	J:155856 	
