NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	36	36		
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	16	16		
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	24	24		
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	27	27		
GOBP_MATURATION_OF_LSU_RRNA	29	29		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	15	15		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	6		Rejected!	
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	12		Rejected!	
GOBP_BOX_C_D_SNORNP_ASSEMBLY	10		Rejected!	
GOBP_EMBRYONIC_AXIS_SPECIFICATION	46	46		
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	17	17		
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	16	16		
GOBP_RECOMBINATIONAL_REPAIR	164	163		
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	12		Rejected!	
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	20	20		
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	36	36		
GOBP_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	29	28		
GOBP_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	5		Rejected!	
GOBP_SISTER_CHROMATID_SEGREGATION	219	216		
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	9		Rejected!	
GOBP_CELL_MORPHOGENESIS	1145		Rejected!	
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	834		Rejected!	
GOBP_CYTOKINESIS	187	172		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	124	123		
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	6		Rejected!	
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	49	49		
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	5		Rejected!	
GOBP_MITOCHONDRIAL_RNA_PROCESSING	17	17		
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	5		Rejected!	
GOBP_RNA_5_END_PROCESSING	20	20		
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	6		Rejected!	
GOBP_RESPONSE_TO_ACID_CHEMICAL	208	183		
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	8		Rejected!	
GOBP_GUANINE_NUCLEOTIDE_TRANSPORT	6		Rejected!	
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	570		Rejected!	
GOBP_CARTILAGE_CONDENSATION	21	19		
GOBP_OSSIFICATION	425	416		
GOBP_NEUROTRANSMITTER_UPTAKE	41	41		
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	256	255		
GOBP_ACTION_POTENTIAL	148	148		
GOBP_RNA_METHYLATION	71	71		
GOBP_PSEUDOURIDINE_SYNTHESIS	18	18		
GOBP_ANGIOGENESIS	549		Rejected!	
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	173	156		
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	73	73		
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	13		Rejected!	
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	11		Rejected!	
GOBP_LUTEINIZATION	15	15		
GOBP_OOCYTE_MATURATION	34	34		
GOBP_REGULATION_OF_CELL_GROWTH	459	444		
GOBP_FATTY_ACID_ALPHA_OXIDATION	6		Rejected!	
GOBP_RESPONSE_TO_PROTOZOAN	43	42		
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	45	45		
GOBP_VASCULOGENESIS	97	95		
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	27	27		
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	17	17		
GOBP_MICROTUBULE_BUNDLE_FORMATION	125	113		
GOBP_OSTEOBLAST_DIFFERENTIATION	227	221		
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	391	375		
GOBP_METANEPHROS_DEVELOPMENT	91	88		
GOBP_TEMPERATURE_HOMEOSTASIS	189	188		
GOBP_FEVER_GENERATION	14		Rejected!	
GOBP_CONDITIONED_TASTE_AVERSION	5		Rejected!	
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	471	460		
GOBP_ACROSOME_ASSEMBLY	24	24		
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	123	102		
GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS	174	172		
GOBP_GASTRIC_ACID_SECRETION	20	20		
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	565		Rejected!	
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND	36	36		
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER	106	105		
GOBP_ECTODERM_FORMATION	6		Rejected!	
GOBP_ENDODERM_FORMATION	42	42		
GOBP_CELL_FATE_SPECIFICATION	113	107		
GOBP_CELL_FATE_DETERMINATION	41	41		
GOBP_MESODERMAL_CELL_FATE_COMMITMENT	18	17		
GOBP_ENDODERMAL_CELL_FATE_COMMITMENT	15	15		
GOBP_ENDODERMAL_CELL_FATE_SPECIFICATION	8		Rejected!	
GOBP_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX	13		Rejected!	
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	89	89		
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	63	59		
GOBP_SOMITOGENESIS	77	76		
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	253	246		
GOBP_NEURON_MIGRATION	201	198		
GOBP_MEMBRANE_RAFT_ASSEMBLY	9		Rejected!	
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	14		Rejected!	
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION	16	16		
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION	38	37		
GOBP_CELL_ACTIVATION	1273		Rejected!	
GOBP_LEUKOCYTE_HOMEOSTASIS	132	131		
GOBP_T_CELL_HOMEOSTATIC_PROLIFERATION	5		Rejected!	
GOBP_PLASMA_MEMBRANE_REPAIR	28	28		
GOBP_NATURAL_KILLER_CELL_DIFFERENTIATION	36	32		
GOBP_NEUTROPHIL_HOMEOSTASIS	29	29		
GOBP_NEUTROPHIL_APOPTOTIC_PROCESS	12		Rejected!	
GOBP_B_CELL_HOMEOSTASIS	44	44		
GOBP_B_CELL_APOPTOTIC_PROCESS	46	45		
GOBP_NATURAL_KILLER_CELL_PROLIFERATION	17	16		
GOBP_TYPE_IV_HYPERSENSITIVITY	5		Rejected!	
GOBP_CYTOKINE_PRODUCTION	859		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	297	287		
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	508	499		
GOBP_SEROTONIN_SECRETION	16	15		
GOBP_MESONEPHROS_DEVELOPMENT	115	110		
GOBP_BLASTOCYST_DEVELOPMENT	161	153		
GOBP_BLASTOCYST_FORMATION	59	57		
GOBP_INNER_CELL_MASS_CELL_DIFFERENTIATION	8		Rejected!	
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	25	24		
GOBP_BLASTOCYST_GROWTH	31	31		
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION	17	17		
GOBP_TROPHECTODERMAL_CELL_PROLIFERATION	7		Rejected!	
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	65	64		
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	157	157		
GOBP_NEURAL_PLATE_MORPHOGENESIS	9		Rejected!	
GOBP_NEURAL_PLATE_DEVELOPMENT	14		Rejected!	
GOBP_NEURAL_TUBE_FORMATION	134	134		
GOBP_NEURAL_FOLD_FORMATION	9		Rejected!	
GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	5		Rejected!	
GOBP_PHAGOLYSOSOME_ASSEMBLY	17	17		
GOBP_NK_T_CELL_DIFFERENTIATION	14		Rejected!	
GOBP_NK_T_CELL_PROLIFERATION	14		Rejected!	
GOBP_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	12		Rejected!	
GOBP_RESPONSE_TO_YEAST	18	15		
GOBP_RECEPTOR_RECYCLING	40	40		
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	75	74		
GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS	17	16		
GOBP_PLACENTA_DEVELOPMENT	180	170		
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT	118	110		
GOBP_MATERNAL_PLACENTA_DEVELOPMENT	32	32		
GOBP_TISSUE_HOMEOSTASIS	286	278		
GOBP_RETINA_HOMEOSTASIS	57	57		
GOBP_ACTIVATION_OF_MEMBRANE_ATTACK_COMPLEX	5		Rejected!	
GOBP_CELL_KILLING	251	214		
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	162	152		
GOBP_T_CELL_MEDIATED_CYTOTOXICITY	68	63		
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	55	51		
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	6		Rejected!	
GOBP_REGULATION_OF_RECEPTOR_RECYCLING	29	29		
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_RECYCLING	5		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	16	16		
GOBP_B_1_B_CELL_HOMEOSTASIS	6		Rejected!	
GOBP_B_1_B_CELL_DIFFERENTIATION	7		Rejected!	
GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION	1128		Rejected!	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION	761		Rejected!	
GOBP_ENDOTHELIAL_CELL_PROLIFERATION	192	169		
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	71	52		
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	103	99		
GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	48	48		
GOBP_VASCULATURE_DEVELOPMENT	797		Rejected!	
GOBP_LYMPH_VESSEL_DEVELOPMENT	32	32		
GOBP_LYMPHANGIOGENESIS	21	21		
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION	128	127		
GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION	38	38		
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	64	63		
GOBP_BLOOD_VESSEL_MATURATION	7		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	20	20		
GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	30	30		
GOBP_STARTLE_RESPONSE	38	38		
GOBP_SUCKLING_BEHAVIOR	17	15		
GOBP_BLOOD_VESSEL_REMODELING	55	53		
GOBP_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	22	21		
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME	16	15		
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CAROTID_SINUS_BARORECEPTOR_FEEDBACK	5		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	46	43		
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	17	16		
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_VASOPRESSIN	5		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_NOREPINEPHRINE_EPINEPHRINE	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_HEART_RATE_BY_EPINEPHRINE_NOREPINEPHRINE	5		Rejected!	
GOBP_RENAL_RESPONSE_TO_BLOOD_FLOW_INVOLVED_IN_CIRCULATORY_RENIN_ANGIOTENSIN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	9		Rejected!	
GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	5		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	589		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	62	60		
GOBP_REGULATION_OF_BLOOD_VOLUME_BY_RENIN_ANGIOTENSIN	12		Rejected!	
GOBP_RESPONSE_TO_DIETARY_EXCESS	43	43		
GOBP_REDUCTION_OF_FOOD_INTAKE_IN_RESPONSE_TO_DIETARY_EXCESS	8		Rejected!	
GOBP_DIET_INDUCED_THERMOGENESIS	16	16		
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION	31	31		
GOBP_REGULATION_OF_HEART_RATE	113	113		
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT	100	99		
GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	20	20		
GOBP_BRAIN_RENIN_ANGIOTENSIN_SYSTEM	8		Rejected!	
GOBP_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	6		Rejected!	
GOBP_SPROUTING_ANGIOGENESIS	126	125		
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	53	53		
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	23	23		
GOBP_OSTEOBLAST_FATE_COMMITMENT	6		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	34	33		
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	34	34		
GOBP_CHONDROCYTE_DIFFERENTIATION	121	117		
GOBP_CHONDROCYTE_DEVELOPMENT	35	32		
GOBP_EPITHELIAL_CELL_DEVELOPMENT	246	239		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	146	139		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT	60	57		
GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	86	81		
GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT	39	38		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION	13		Rejected!	
GOBP_EPITHELIAL_CELL_MATURATION	26	25		
GOBP_GLANDULAR_EPITHELIAL_CELL_MATURATION	9		Rejected!	
GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	7		Rejected!	
GOBP_OSTEOBLAST_DEVELOPMENT	18	18		
GOBP_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	26	26		
GOBP_PROTEIN_DEPALMITOYLATION	10		Rejected!	
GOBP_INHIBITION_OF_NEUROEPITHELIAL_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS	13		Rejected!	
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE	90	84		
GOBP_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	28	27		
GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION	77	77		
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	16	16		
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	34	34		
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	27	26		
GOBP_TRNA_WOBBLE_BASE_MODIFICATION	19	19		
GOBP_TRNA_WOBBLE_URIDINE_MODIFICATION	16	16		
GOBP_STORE_OPERATED_CALCIUM_ENTRY	25	24		
GOBP_AGGRESSIVE_BEHAVIOR	10		Rejected!	
GOBP_RETINOIC_ACID_BIOSYNTHETIC_PROCESS	14		Rejected!	
GOBP_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	8		Rejected!	
GOBP_OSTEOCLAST_PROLIFERATION	10		Rejected!	
GOBP_PROTEIN_LOCALIZATION_TO_PARANODE_REGION_OF_AXON	5		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATION	146	142		
GOBP_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	9		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	29	29		
GOBP_CAP_INDEPENDENT_TRANSLATIONAL_INITIATION	5		Rejected!	
GOBP_CAP_DEPENDENT_TRANSLATIONAL_INITIATION	6		Rejected!	
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	86	85		
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNOGLOBULINS_INVOLVED_IN_IMMUNE_RESPONSE	59	59		
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	59	57		
GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	182	180		
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	124	122		
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	50	20		
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	82	78		
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	33	33		
GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	8		Rejected!	
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	390	338		
GOBP_RESPONSE_TO_MOLECULE_OF_FUNGAL_ORIGIN	6		Rejected!	
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	182	172		
GOBP_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE	11		Rejected!	
GOBP_CONNECTIVE_TISSUE_REPLACEMENT_INVOLVED_IN_INFLAMMATORY_RESPONSE_WOUND_HEALING	7		Rejected!	
GOBP_LYMPHOCYTE_ANERGY	9		Rejected!	
GOBP_ADAPTIVE_IMMUNE_RESPONSE	616	457		
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	68	36		
GOBP_IMMUNE_EFFECTOR_PROCESS	837		Rejected!	
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	441	295		
GOBP_LYMPHOCYTE_HOMEOSTASIS	89	89		
GOBP_MYELOID_CELL_HOMEOSTASIS	205	198		
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	329	299		
GOBP_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	46	46		
GOBP_PLASMACYTOID_DENDRITIC_CELL_ACTIVATION	5		Rejected!	
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	268	252		
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	116	103		
GOBP_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	69	58		
GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	20	19		
GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	22	21		
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	222	204		
GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	126	113		
GOBP_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL	9		Rejected!	
GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	80	80		
GOBP_T_HELPER_CELL_LINEAGE_COMMITMENT	17	17		
GOBP_T_HELPER_1_CELL_LINEAGE_COMMITMENT	5		Rejected!	
GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	96	95		
GOBP_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	32	32		
GOBP_GERMINAL_CENTER_B_CELL_DIFFERENTIATION	8		Rejected!	
GOBP_MARGINAL_ZONE_B_CELL_DIFFERENTIATION	10		Rejected!	
GOBP_PLASMA_CELL_DIFFERENTIATION	10		Rejected!	
GOBP_MYELOID_PROGENITOR_CELL_DIFFERENTIATION	14		Rejected!	
GOBP_LYMPHOID_PROGENITOR_CELL_DIFFERENTIATION	24	23		
GOBP_B_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	6		Rejected!	
GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	43	25		
GOBP_B_CELL_LINEAGE_COMMITMENT	6		Rejected!	
GOBP_IMMATURE_B_CELL_DIFFERENTIATION	22	21		
GOBP_PRO_B_CELL_DIFFERENTIATION	13		Rejected!	
GOBP_PRE_B_CELL_DIFFERENTIATION	13		Rejected!	
GOBP_MATURE_B_CELL_DIFFERENTIATION	41	41		
GOBP_B_CELL_SELECTION	6		Rejected!	
GOBP_RESPONSE_TO_TUMOR_CELL	46	46		
GOBP_HISTAMINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	9		Rejected!	
