NAME,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,posneg
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,28,0.62611634,1.8061582,0.006928407,0.09490079,0.894,3034,pos
GOBP_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE,15,0.7429022,1.7965014,0.004357298,0.101988785,0.918,1650,pos
GOBP_DIOL_METABOLIC_PROCESS,30,0.6166702,1.7913592,0.002267574,0.10526961,0.928,3677,pos
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,102,0.49209857,1.7908437,0,0.10205393,0.93,3714,pos
GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING,31,0.62098557,1.788864,0,0.101241745,0.934,2628,pos
GOBP_TRICARBOXYLIC_ACID_CYCLE,33,0.59527725,1.7770941,0.002272727,0.112458125,0.946,3221,pos
GOBP_PROTEIN_INSERTION_INTO_MEMBRANE,55,0.5455018,1.7769306,0,0.108846195,0.946,2761,pos
GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS,95,0.4957025,1.7750976,0,0.10719839,0.949,2867,pos
GOBP_BRANCHED_CHAIN_AMINO_ACID_CATABOLIC_PROCESS,20,0.6745926,1.7730998,0,0.106174044,0.952,4548,pos
GOBP_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS,16,0.70273435,1.771071,0.002262444,0.10551552,0.956,3450,pos
GOBP_RESPONSE_TO_UNFOLDED_PROTEIN,115,0.4786236,1.7566128,0,0.12111656,0.975,2731,pos
GOBP_LINOLEIC_ACID_METABOLIC_PROCESS,20,0.6774796,1.7458668,0.004415011,0.13330233,0.982,2398,pos
GOBP_FATTY_ACID_CATABOLIC_PROCESS,103,0.47890246,1.7423112,0,0.13496956,0.983,3768,pos
GOBP_LYSOSOMAL_MEMBRANE_ORGANIZATION,17,0.6774505,1.7416935,0.004415011,0.13221492,0.983,5440,pos
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS,17,0.6873782,1.7405547,0.004618938,0.13069205,0.985,3221,pos
GOBP_DIOL_BIOSYNTHETIC_PROCESS,22,0.63387394,1.7329499,0.011235955,0.13765901,0.989,5645,pos
GOBP_CERAMIDE_CATABOLIC_PROCESS,21,0.64699817,1.7313087,0.002079002,0.13695325,0.99,1726,pos
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY,23,0.631344,1.7293485,0.006637168,0.13646993,0.99,1605,pos
GOBP_TAIL_ANCHORED_MEMBRANE_PROTEIN_INSERTION_INTO_ER_MEMBRANE,17,0.68472993,1.7161475,0.004474273,0.15475586,0.997,2761,pos
GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS,27,0.60034883,1.7137588,0.008583691,0.15517291,0.998,3270,pos
GOBP_AUTOPHAGIC_CELL_DEATH,15,0.72231394,1.7114364,0.004357298,0.15561585,0.999,538,pos
GOBP_REGULATION_OF_INTEGRIN_ACTIVATION,19,0.6672722,1.7087667,0.004301075,0.15710233,1,3777,pos
GOBP_PROSTANOID_METABOLIC_PROCESS,48,0.53413695,1.6983724,0.002227172,0.17187715,1,4380,pos
GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN,88,0.48117864,1.6949762,0.002512563,0.17421801,1,2731,pos
GOBP_PEPTIDYL_ARGININE_MODIFICATION,25,0.6017766,1.6923876,0.009411764,0.17552017,1,1012,pos
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_TRANSLATION,17,0.65512365,1.6883416,0.010706638,0.17906243,1,2912,pos
GOBP_LONG_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS,22,0.63213784,1.6768785,0.009456265,0.19646011,1,3515,pos
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,137,0.44189653,1.6730884,0,0.19932114,1,2427,pos
GOBP_CEREBROSPINAL_FLUID_CIRCULATION,16,0.6701549,1.6719987,0.015283843,0.19748028,1,2964,pos
GOBP_FATTY_ACID_BETA_OXIDATION,78,0.48140222,1.6677673,0,0.20214851,1,3768,pos
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,39,0.5409938,1.667095,0.004705882,0.19978721,1,3034,pos
GOBP_PROTEIN_NEDDYLATION,20,0.630008,1.6660966,0.006479482,0.19766125,1,3934,pos
GOBP_PEPTIDE_HORMONE_PROCESSING,19,0.6371079,1.6660438,0.018223235,0.19424112,1,391,pos
GOBP_PIRNA_METABOLIC_PROCESS,22,0.61268085,1.6642191,0.016563147,0.19435762,1,2411,pos
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,252,0.41152927,1.6639813,0,0.19132623,1,2857,pos
GOBP_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION,16,0.67286164,1.6628397,0.006276151,0.19013584,1,5386,pos
GOBP_SIGNALING_RECEPTOR_LIGAND_PRECURSOR_PROCESSING,25,0.58478075,1.6619631,0.01330377,0.1884683,1,391,pos
GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE,67,0.48509118,1.6604025,0.002564103,0.18829499,1,1706,pos
GOBP_MALE_MEIOTIC_NUCLEAR_DIVISION,55,0.50365233,1.6546154,0.004672897,0.196337,1,2594,pos
GOBP_CELLULAR_OXIDANT_DETOXIFICATION,25,0.60175323,1.651854,0.010570824,0.19847232,1,1947,pos
GOBP_INFLAMMATORY_RESPONSE_TO_WOUNDING,20,0.6280291,1.648094,0.007125891,0.20215496,1,2408,pos
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY,42,0.53959334,1.6467923,0.006818182,0.20170228,1,2755,pos
GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,252,0.4068426,1.6459292,0,0.20016317,1,2755,pos
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS,19,0.6359271,1.6447251,0.013333334,0.19941433,1,2867,pos
GOBP_PROTEIN_TARGETING,276,0.39793876,1.6435245,0,0.1989058,1,2578,pos
GOBP_POLYAMINE_METABOLIC_PROCESS,20,0.6227934,1.6410456,0.011547344,0.2002648,1,1631,pos
GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS,106,0.44830152,1.640315,0,0.19873573,1,3515,pos
GOBP_ENDOSOME_ORGANIZATION,66,0.49924305,1.6395186,0.002506266,0.19764118,1,4171,pos
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN,40,0.53088176,1.6372955,0.006741573,0.19936667,1,2526,pos
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,226,0.40692335,1.6366398,0,0.19779302,1,4589,pos
GOBP_REGULATION_OF_ER_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,16,0.6473795,1.6353854,0.01847575,0.19729704,1,2189,pos
GOBP_SPHINGOLIPID_METABOLIC_PROCESS,143,0.4303636,1.6333416,0,0.19830479,1,3518,pos
GOBP_FATTY_ACID_METABOLIC_PROCESS,419,0.38330558,1.6316749,0,0.19882298,1,3515,pos
GOBP_L_GLUTAMATE_IMPORT,26,0.5671541,1.6303614,0.016129032,0.1986417,1,1650,pos
GOBP_UBIQUITIN_DEPENDENT_ERAD_PATHWAY,84,0.46331713,1.6300108,0.005012531,0.1968122,1,2516,pos
GOBP_AXONEME_ASSEMBLY,80,0.46250764,1.6278602,0.002392344,0.19825259,1,4725,pos
GOBP_THIOESTER_BIOSYNTHETIC_PROCESS,27,0.57607704,1.6264882,0.017699115,0.19851688,1,3119,pos
GOBP_DETOXIFICATION,58,0.49318656,1.6214652,0.007092198,0.20518672,1,2903,pos
GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS,152,0.41813648,1.6192762,0,0.20683095,1,3515,pos
GOBP_MULTIVESICULAR_BODY_SORTING_PATHWAY,35,0.54360217,1.6181293,0.002212389,0.20656517,1,4171,pos
GOBP_AEROBIC_ELECTRON_TRANSPORT_CHAIN,48,0.5135401,1.6176513,0.002277904,0.2051756,1,4225,pos
GOBP_URATE_METABOLIC_PROCESS,15,0.65792334,1.615673,0.013392857,0.20655458,1,2815,pos
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,90,0.45634663,1.6131549,0,0.2090563,1,1987,pos
GOBP_PROTEIN_TARGETING_TO_MEMBRANE,119,0.43836257,1.6094791,0.002439024,0.21375085,1,2538,pos
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,24,0.5945591,1.6071976,0.008988764,0.21516773,1,4548,pos
GOBP_ICOSANOID_METABOLIC_PROCESS,113,0.4317714,1.6053407,0.00257732,0.21654105,1,3515,pos
GOBP_PROTEIN_REFOLDING,24,0.59418553,1.6042725,0.018058691,0.21621285,1,3258,pos
GOBP_PEPTIDYL_ARGININE_METHYLATION,17,0.64474636,1.6024392,0.01754386,0.21733816,1,1012,pos
GOBP_NUCLEOSIDE_BISPHOSPHATE_BIOSYNTHETIC_PROCESS,37,0.5377698,1.600437,0.015801355,0.21892396,1,3300,pos
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,412,0.3768181,1.6000179,0,0.21743736,1,3586,pos
GOBP_CELL_REDOX_HOMEOSTASIS,29,0.5735025,1.5997572,0.012931035,0.21565166,1,2576,pos
GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,25,0.57043284,1.5966377,0.011494253,0.21958044,1,4498,pos
GOBP_VACUOLAR_ACIDIFICATION,24,0.58896625,1.5913005,0.014830508,0.22770517,1,6470,pos
GOBP_PHOSPHATIDYLSERINE_METABOLIC_PROCESS,22,0.5766135,1.5886399,0.040089086,0.23090287,1,4676,pos
GOBP_GOLGI_VESICLE_TRANSPORT,273,0.38940758,1.5845689,0,0.2365942,1,3541,pos
GOBP_RRNA_PROCESSING,215,0.39243564,1.5808653,0,0.24140255,1,3271,pos
GOBP_RESPONSE_TO_LEPTIN,20,0.60361105,1.5802648,0.026373627,0.24012686,1,3839,pos
GOBP_LIPID_OXIDATION,125,0.42631623,1.578778,0,0.24070331,1,3768,pos
GOBP_ERAD_PATHWAY,106,0.4309508,1.5782275,0,0.23980215,1,1646,pos
GOBP_POST_TRANSLATIONAL_PROTEIN_TARGETING_TO_ENDOPLASMIC_RETICULUM_MEMBRANE,18,0.60725945,1.577973,0.024017468,0.23805572,1,1342,pos
GOBP_MEMBRANE_LIPID_METABOLIC_PROCESS,185,0.3996416,1.5775726,0,0.23665349,1,4184,pos
GOBP_MATURATION_OF_LSU_RRNA,29,0.5483336,1.5768793,0.01590909,0.23569873,1,3271,pos
GOBP_REGULATION_OF_SUPEROXIDE_ANION_GENERATION,27,0.5598177,1.5747591,0.017621145,0.23768225,1,3959,pos
GOBP_VESICLE_COATING,33,0.5351483,1.5740016,0.02183406,0.23692138,1,2642,pos
GOBP_REGULATION_OF_SUPEROXIDE_METABOLIC_PROCESS,33,0.5504619,1.5739377,0.015801355,0.23483348,1,3959,pos
GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,108,0.42825952,1.5730804,0,0.23419824,1,2731,pos
GOBP_SPERMATID_NUCLEUS_DIFFERENTIATION,17,0.62833995,1.5704744,0.020746889,0.23727946,1,4964,pos
GOBP_GLUTATHIONE_METABOLIC_PROCESS,76,0.4490328,1.5704181,0,0.23525375,1,3185,pos
GOBP_POSITIVE_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,17,0.627985,1.5702878,0.024122806,0.2334035,1,249,pos
GOBP_RIBOSOME_BIOGENESIS,295,0.37617835,1.569291,0,0.23353568,1,3088,pos
GOBP_COENZYME_A_METABOLIC_PROCESS,15,0.63164777,1.5676866,0.030368764,0.234677,1,3346,pos
GOBP_INTRACILIARY_ANTEROGRADE_TRANSPORT,19,0.60667884,1.5661821,0.030973451,0.23572826,1,4607,pos
GOBP_PROTEIN_STABILIZATION,190,0.39980713,1.5639479,0,0.23823738,1,1544,pos
GOBP_NEGATIVE_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY,17,0.6065766,1.5539614,0.040685225,0.25642142,1,2155,pos
GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS,43,0.49453926,1.5523862,0.017632242,0.25750133,1,3991,pos
GOBP_VESICLE_BUDDING_FROM_MEMBRANE,76,0.4459357,1.5518289,0.009237875,0.2563964,1,4663,pos
GOBP_REGULATION_OF_CILIUM_BEAT_FREQUENCY,16,0.61662257,1.5507709,0.042410713,0.256458,1,4615,pos
GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,18,0.60355854,1.5500755,0.027956989,0.25583714,1,3034,pos
GOBP_POLYAMINE_BIOSYNTHETIC_PROCESS,15,0.63712007,1.5488265,0.03761062,0.25617486,1,1631,pos
GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS,50,0.4897598,1.5487884,0.006944445,0.25420225,1,3450,pos
GOBP_RESPONSE_TO_ZINC_ION,36,0.52154845,1.5438532,0.021951219,0.26319435,1,3714,pos
GOBP_PYRIMIDINE_NUCLEOTIDE_CATABOLIC_PROCESS,16,0.6146892,1.5429285,0.027896997,0.26308307,1,1008,pos
GOBP_RRNA_METHYLATION,21,0.57759506,1.542795,0.023255814,0.26122487,1,4698,pos
GOBP_REGULATION_OF_RESPONSE_TO_TUMOR_CELL,31,0.54092795,1.5421678,0.029279279,0.26028883,1,3514,pos
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,59,0.46634287,1.540258,0.019184653,0.26220402,1,3825,pos
GOBP_POSITIVE_REGULATION_OF_ATP_DEPENDENT_ACTIVITY,43,0.49078155,1.5398015,0.015384615,0.2610127,1,3774,pos
GOBP_REGULATION_OF_COAGULATION,74,0.44597122,1.5386628,0.004651163,0.26145458,1,2833,pos
GOBP_REGULATION_OF_CILIUM_MOVEMENT,38,0.5222739,1.538268,0.006681514,0.26027992,1,5746,pos
GOBP_LIPOPROTEIN_LOCALIZATION,18,0.59225345,1.537993,0.040084388,0.2587619,1,3677,pos
GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT,27,0.5502665,1.5365235,0.015452539,0.25959727,1,4542,pos
GOBP_REGULATION_OF_CELL_FATE_SPECIFICATION,29,0.53095585,1.5349777,0.025171624,0.26089153,1,614,pos
GOBP_TRNA_PROCESSING,120,0.41084555,1.533508,0.002487562,0.26184347,1,3418,pos
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_TELOMERE,18,0.5879711,1.5233833,0.042410713,0.28132948,1,1544,pos
GOBP_AEROBIC_RESPIRATION,169,0.39099103,1.522751,0,0.2805049,1,4234,pos
GOBP_PROTEIN_TRANSMEMBRANE_TRANSPORT,57,0.45748565,1.5223143,0.020044543,0.27936444,1,2039,pos
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,204,0.38148803,1.5208747,0.002762431,0.28048763,1,3571,pos
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY,152,0.40039593,1.5193198,0,0.28202927,1,3635,pos
GOBP_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM,45,0.48582247,1.5188081,0.01635514,0.28110746,1,1393,pos
GOBP_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,194,0.38593078,1.5173514,0.002923977,0.28249654,1,4276,pos
GOBP_SPHINGOLIPID_BIOSYNTHETIC_PROCESS,97,0.41951445,1.5165458,0,0.28217724,1,3518,pos
GOBP_LIPID_CATABOLIC_PROCESS,331,0.36831325,1.516445,0,0.28044826,1,3499,pos
GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT,20,0.5870222,1.514721,0.045454547,0.28220865,1,1322,pos
GOBP_GLYCOSIDE_METABOLIC_PROCESS,16,0.59990954,1.5128019,0.041394334,0.28457797,1,5094,pos
GOBP_NEGATIVE_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION,31,0.5104214,1.5126834,0.023094688,0.2828882,1,4236,pos
GOBP_VESICLE_TETHERING,30,0.5233779,1.5122457,0.03803132,0.28197515,1,3988,pos
GOBP_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION,17,0.5964468,1.5104035,0.0372807,0.2842435,1,2398,pos
GOBP_TOXIN_TRANSPORT,42,0.4871407,1.5100095,0.027334852,0.28313413,1,764,pos
GOBP_PROSTANOID_BIOSYNTHETIC_PROCESS,30,0.526276,1.5097184,0.016949153,0.28186086,1,4380,pos
GOBP_CENTROMERE_COMPLEX_ASSEMBLY,30,0.52328503,1.5096931,0.02739726,0.28008738,1,3924,pos
GOBP_L_AMINO_ACID_TRANSPORT,59,0.45368227,1.5082968,0.013605442,0.281329,1,1782,pos
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,317,0.3619971,1.5074226,0,0.28136018,1,3185,pos
GOBP_NUCLEOSIDE_BISPHOSPHATE_METABOLIC_PROCESS,105,0.4089574,1.5053066,0.007537689,0.2841655,1,3799,pos
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING,20,0.5725576,1.5039802,0.057939913,0.2855553,1,3413,pos
GOBP_MEMBRANE_FISSION,31,0.5212842,1.5019362,0.020881671,0.28830224,1,5939,pos
GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM,114,0.40093103,1.5004433,0.002695418,0.28949523,1,2514,pos
GOBP_PYRIMIDINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS,22,0.55548525,1.5001919,0.045351475,0.2881567,1,6289,pos
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,78,0.42725888,1.4991827,0.009803922,0.28840464,1,3635,pos
GOBP_CELLULAR_LIPID_CATABOLIC_PROCESS,227,0.3707949,1.495551,0,0.29449046,1,3499,pos
GOBP_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS,33,0.49435517,1.4951652,0.027586207,0.29351568,1,5813,pos
GOBP_REGULATION_OF_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,17,0.59116876,1.4942554,0.04494382,0.29370242,1,3322,pos
GOBP_REGULATION_OF_VESICLE_SIZE,19,0.5659085,1.494238,0.03628118,0.29193684,1,4760,pos
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_PROLIFERATION,33,0.5089459,1.4844207,0.03087886,0.31258452,1,3625,pos
GOBP_MYELOID_CELL_APOPTOTIC_PROCESS,45,0.46574932,1.4840871,0.02739726,0.31138483,1,3607,pos
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS,28,0.530019,1.4835402,0.039534885,0.31082726,1,1897,pos
GOBP_MEMBRANE_LIPID_CATABOLIC_PROCESS,35,0.502964,1.4812777,0.03153153,0.3144827,1,3299,pos
GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING,19,0.56870776,1.4788996,0.06776181,0.31836283,1,2731,pos
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_TUMOR_CELL,20,0.5644631,1.4778284,0.045738045,0.3189343,1,2853,pos
GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN,49,0.46951336,1.475088,0.02200489,0.32333994,1,2854,pos
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS,287,0.3603779,1.4749255,0,0.32180873,1,3584,pos
GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY,16,0.6042867,1.4715695,0.054466233,0.3280076,1,4542,pos
GOBP_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORT,76,0.423485,1.4709321,0.019002376,0.3276143,1,2334,pos
GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,17,0.5646297,1.4707605,0.06854839,0.3262332,1,1826,pos
GOBP_QUINONE_METABOLIC_PROCESS,37,0.4894684,1.4702308,0.042755343,0.32557595,1,3496,pos
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY,34,0.49211356,1.4700874,0.028508771,0.3240526,1,764,pos
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE,50,0.4607726,1.4695184,0.027777778,0.3237376,1,2903,pos
GOBP_GLYCOSYL_COMPOUND_CATABOLIC_PROCESS,28,0.5130394,1.4694018,0.037815128,0.32220003,1,2922,pos
GOBP_TRNA_MODIFICATION,83,0.41755992,1.4672277,0.014285714,0.32539284,1,3686,pos
GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION,175,0.37503335,1.4638029,0.002680965,0.33193052,1,2957,pos
GOBP_XENOBIOTIC_METABOLIC_PROCESS,93,0.4063129,1.4614166,0.009756098,0.3360462,1,3342,pos
GOBP_REGULATION_OF_WOUND_HEALING,132,0.38883463,1.4593437,0.013368984,0.33920687,1,2833,pos
GOBP_RRNA_METABOLIC_PROCESS,251,0.35957998,1.4593327,0,0.3373747,1,3271,pos
GOBP_COPII_COATED_VESICLE_BUDDING,35,0.484904,1.4575088,0.041860465,0.34011555,1,3524,pos
GOBP_MONOCYTE_CHEMOTACTIC_PROTEIN_1_PRODUCTION,28,0.5192722,1.4571191,0.044345897,0.33928037,1,535,pos
GOBP_THIOESTER_METABOLIC_PROCESS,87,0.42015883,1.4571106,0.02020202,0.3374769,1,3688,pos
GOBP_SYNAPTONEMAL_COMPLEX_ORGANIZATION,26,0.5177567,1.4566274,0.048245613,0.33685243,1,2391,pos
GOBP_GLYCOSYL_COMPOUND_METABOLIC_PROCESS,74,0.4207236,1.4554,0.014492754,0.33802423,1,3087,pos
GOBP_CHLORIDE_TRANSMEMBRANE_TRANSPORT,54,0.4489856,1.4548569,0.041564792,0.33752128,1,2334,pos
GOBP_VESICLE_TARGETING_ROUGH_ER_TO_CIS_GOLGI,20,0.5557431,1.4542857,0.060674157,0.33702588,1,6575,pos
GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS,149,0.3798669,1.4526762,0.005194805,0.33942315,1,3928,pos
GOBP_NEGATIVE_REGULATION_OF_PHAGOCYTOSIS,25,0.519304,1.4510237,0.055427253,0.34173763,1,3880,pos
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,26,0.5145671,1.4501002,0.04989154,0.34216312,1,2711,pos
GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION,63,0.42946425,1.4496543,0.012019231,0.34161943,1,3078,pos
GOBP_POSITIVE_REGULATION_OF_TRANSLATION,139,0.3831192,1.4488206,0.002695418,0.3419462,1,3238,pos
GOBP_CELLULAR_RESPONSE_TO_HEAT,52,0.45649144,1.4479969,0.044496488,0.34210214,1,3189,pos
GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,62,0.43595234,1.4452882,0.018518519,0.34693646,1,1544,pos
GOBP_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS,131,0.38527676,1.4423647,0,0.352249,1,4184,pos
GOBP_PEROXISOME_ORGANIZATION,36,0.4745296,1.4418308,0.0372807,0.3516685,1,3651,pos
GOBP_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,80,0.4130639,1.4407144,0.023419203,0.35256886,1,3257,pos
GOBP_TRNA_METHYLATION,35,0.48189563,1.4390951,0.040189125,0.35480577,1,3330,pos
GOBP_REGULATION_OF_PROTEIN_STABILITY,306,0.34714594,1.4390512,0,0.3531446,1,3676,pos
GOBP_TRNA_METABOLIC_PROCESS,172,0.36779293,1.4381232,0.007692308,0.35342693,1,3973,pos
GOBP_NCRNA_PROCESSING,397,0.34094146,1.4376593,0,0.35287994,1,3330,pos
GOBP_PROTEIN_K63_LINKED_UBIQUITINATION,63,0.4303571,1.4363569,0.011520738,0.35442138,1,2967,pos
